Protein IDs,Protein names,n_variants_present,f_present,mean_WD,max_WD,mean_z,median_log2FC,mean_MiST,mean_specificity,ctrl_detect_ratio_overall,n_high_lines,n_mid_lines,bait_specific_penalty,any_high,any_mid,S,prey_uniprot,struct_status,struct_iptm,struct_ptm,struct_rank,fraction_disordered,has_clash,S_struct,iface_contact_pairs,iface_res_A,iface_res_B,iface_min_ca_dist,iface_mean_ca_dist,iface_mean_plddt,iface_area,iface_hbonds,iface_salt_bridges,iface_hydroph_contacts,score_struct,priority_rank,score_struct_cal,priority_rank_cal
O95786,Antiviral innate immune response receptor RIG-I ,7,1.0,0.030972724082374,1.3220132370617452,4.437489679445851,6.686400505531466,2.720167805607668,0.9285714285714286,0.0,7,7,0.0714285714285714,True,True,0.7475019925037848,O95786,done,0.38,0.6,0.43,0.01,0.0,0.7717403299918534,114,40,38,1.075461983680725,6.404053277090976,75.30,2207.87,48,6,8,0.660422,2,0.700539,1
P25786,Proteasome subunit alpha type-1 ,7,1.0,0.5009896553273606,2.667144434587373,2632787.7926247125,4.341570726941001,1.1952625258354463,0.7448979591836735,0.1428571428571428,4,7,0.2551020408163265,True,True,0.7592619343950346,P25786,done,0.4,0.8,0.5,0.03,0.0,0.7953726442357795,120,56,52,4.727386474609375,6.918999274571736,70.91,3045.46,37,14,18,0.700538,1,0.700538,2
Q9UHD9,Ubiquilin-2 ,7,1.0,0.869544075231469,2.647329804595703,3503518.2043439453,5.471924877622477,0.7771094947554635,0.8367346938775511,0.1428571428571428,7,7,0.1632653061224489,True,True,0.8326635562223921,Q9UHD9,done,0.18,0.63,0.34,0.15,0.0,0.7077640227890333,113,53,34,1.452724575996399,6.594952419795821,69.93,2125.14,29,5,29,0.563801,3,0.563801,3
Q8NBJ5,Procollagen galactosyltransferase 1 ,7,1.0,0.4202592339892329,2.3705071811793887,2289528.9081904786,3.409605331724496,0.6326486243535749,0.7448979591836735,0.1428571428571428,5,7,0.2551020408163265,True,True,0.6975461737288703,Q8NBJ5,done,0.18,0.63,0.28,0.03,0.0,0.5929142476695397,37,21,21,4.993406295776367,6.934067403947985,76.23,1242.75,10,5,1,0.452181,4,0.452181,4
Q99460,26S proteasome non-ATPase regulatory subunit 1 ,7,1.0,0.0882846052158102,2.0586286362805004,2720841.583006274,4.147839284434813,1.110291856318154,0.6938775510204083,0.1428571428571428,6,6,0.3061224489795918,True,True,0.7088285545694911,Q99460,done,0.18,0.56,0.29,0.07,0.0,0.6025042713840675,23,12,11,4.9896039962768555,6.748793291008991,82.87,699.31,6,3,3,0.430317,5,0.430317,5
A0A024R228,Heterogeneous nuclear ribonucleoprotein K ,7,1.0,0.9323051688029922,2.405016438527386,3.604570133666023,5.333655222741182,2.496474119378374,0.9285714285714286,0.0,6,7,0.0714285714285714,True,True,0.8080837186700768,,,,,,,,0.8080837186700768,,,,,,,,,,,0.404042,6,0.404042,6
P14625,Endoplasmin ,7,1.0,0.1802160725788366,1.1965387231845852,3602236.5553183784,5.417586165622463,1.8284199835736965,0.6836734693877551,0.1428571428571428,6,6,0.3163265306122448,True,True,0.8036256945305339,P14625,partial,,,,,,0.8036256945305339,,,,,,,,,,,0.401813,7,0.401813,7
P11441,Ubiquitin-like protein 4A ,7,1.0,0.4212985486904705,2.156776867655391,3247621.049726465,4.998542317952261,0.960014252878849,0.8469387755102041,0.1428571428571428,6,7,0.1530612244897959,True,True,0.7854882074311291,P11441,partial,,,,,,0.7854882074311291,,,,,,,,,,,0.392744,8,0.392744,8
I3L4N8,"Actin, cytoplasmic 2 ",7,1.0,0.2332440972328727,1.839576155718852,5.242536514364447,7.591813776873483,2.7857142857142856,0.9285714285714286,0.0,7,7,0.0714285714285714,True,True,0.7801587962617806,,,,,,,,0.7801587962617806,,,,,,,,,,,0.390079,9,0.390079,9
A0A4D5RAC7,Tr-type G domain-containing protein ,7,1.0,-0.0101270603552104,3.096759051028994,4.273604749831213,6.200207665763696,2.7857142857142856,0.9285714285714286,0.0,7,7,0.0714285714285714,True,True,0.7419060433144715,,,,,,,,0.7419060433144715,,,,,,,,,,,0.370953,10,0.370953,10
